datetime,event,aspecting_planet,aspecting_sign,aspecting_sign_vi,aspecting_degree,aspecting_nakshatra,aspecting_nakshatra_lord,aspecting_pada,aspected_planet,aspected_sign,aspected_sign_vi,aspected_degree,aspected_nakshatra,aspected_nakshatra_lord,aspected_pada,aspect_type,aspect_house,target_angle,actual_angle,orb,strength
2026-01-10 00:00:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"25°13'07.79""",Purva Ashadha,Venus,4,Jupiter,Gemini,Song Tử,"25°58'25.98""",Punarvasu,Jupiter,2,7th House,7,180,180.7551,0.7551,Standard
2026-01-10 00:00:00,Parashara_Drishti,Venus,Sagittarius,Nhân Mã,"25°56'24.14""",Purva Ashadha,Venus,4,Jupiter,Gemini,Song Tử,"25°58'25.98""",Punarvasu,Jupiter,2,7th House,7,180,180.0338,0.0338,Standard
2026-01-10 00:00:00,Parashara_Drishti,Mars,Sagittarius,Nhân Mã,"25°09'50.91""",Purva Ashadha,Venus,4,Jupiter,Gemini,Song Tử,"25°58'25.98""",Punarvasu,Jupiter,2,7th House,7,180,180.8097,0.8097,Weak
2026-01-10 00:00:00,Parashara_Drishti,Jupiter,Gemini,Song Tử,"25°58'25.98""",Punarvasu,Jupiter,2,Sun,Sagittarius,Nhân Mã,"25°13'07.79""",Purva Ashadha,Venus,4,7th House,7,180,179.2449,0.7551,Weak
2026-01-10 00:00:00,Parashara_Drishti,Jupiter,Gemini,Song Tử,"25°58'25.98""",Punarvasu,Jupiter,2,Venus,Sagittarius,Nhân Mã,"25°56'24.14""",Purva Ashadha,Venus,4,7th House,7,180,179.9662,0.0338,Weak
2026-01-10 00:00:00,Parashara_Drishti,Jupiter,Gemini,Song Tử,"25°58'25.98""",Punarvasu,Jupiter,2,Mars,Sagittarius,Nhân Mã,"25°09'50.91""",Purva Ashadha,Venus,4,7th House,7,180,179.1903,0.8097,Weak
2026-01-10 00:15:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"25°13'46.00""",Purva Ashadha,Venus,4,Jupiter,Gemini,Song Tử,"25°58'20.92""",Punarvasu,Jupiter,2,7th House,7,180,180.743,0.743,Standard
2026-01-10 00:15:00,Parashara_Drishti,Venus,Sagittarius,Nhân Mã,"25°57'11.31""",Purva Ashadha,Venus,4,Jupiter,Gemini,Song Tử,"25°58'20.92""",Punarvasu,Jupiter,2,7th House,7,180,180.0193,0.0193,Standard
2026-01-10 00:15:00,Parashara_Drishti,Mars,Sagittarius,Nhân Mã,"25°10'19.86""",Purva Ashadha,Venus,4,Jupiter,Gemini,Song Tử,"25°58'20.92""",Punarvasu,Jupiter,2,7th House,7,180,180.8003,0.8003,Weak
2026-01-10 00:15:00,Parashara_Drishti,Jupiter,Gemini,Song Tử,"25°58'20.92""",Punarvasu,Jupiter,2,Sun,Sagittarius,Nhân Mã,"25°13'46.00""",Purva Ashadha,Venus,4,7th House,7,180,179.257,0.743,Weak
2026-01-10 00:15:00,Parashara_Drishti,Jupiter,Gemini,Song Tử,"25°58'20.92""",Punarvasu,Jupiter,2,Venus,Sagittarius,Nhân Mã,"25°57'11.31""",Purva Ashadha,Venus,4,7th House,7,180,179.9807,0.0193,Weak
2026-01-10 00:15:00,Parashara_Drishti,Jupiter,Gemini,Song Tử,"25°58'20.92""",Punarvasu,Jupiter,2,Mars,Sagittarius,Nhân Mã,"25°10'19.86""",Purva Ashadha,Venus,4,7th House,7,180,179.1997,0.8003,Weak
2026-01-10 00:30:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"25°14'24.21""",Purva Ashadha,Venus,4,Jupiter,Gemini,Song Tử,"25°58'15.85""",Punarvasu,Jupiter,2,7th House,7,180,180.731,0.731,Standard
2026-01-10 00:30:00,Parashara_Drishti,Venus,Sagittarius,Nhân Mã,"25°57'58.48""",Purva Ashadha,Venus,4,Jupiter,Gemini,Song Tử,"25°58'15.85""",Punarvasu,Jupiter,2,7th House,7,180,180.0048,0.0048,Standard
2026-01-10 00:30:00,Parashara_Drishti,Mars,Sagittarius,Nhân Mã,"25°10'48.81""",Purva Ashadha,Venus,4,Jupiter,Gemini,Song Tử,"25°58'15.85""",Punarvasu,Jupiter,2,7th House,7,180,180.7908,0.7908,Weak
2026-01-10 00:30:00,Parashara_Drishti,Jupiter,Gemini,Song Tử,"25°58'15.85""",Punarvasu,Jupiter,2,Sun,Sagittarius,Nhân Mã,"25°14'24.21""",Purva Ashadha,Venus,4,7th House,7,180,179.269,0.731,Weak
2026-01-10 00:30:00,Parashara_Drishti,Jupiter,Gemini,Song Tử,"25°58'15.85""",Punarvasu,Jupiter,2,Venus,Sagittarius,Nhân Mã,"25°57'58.48""",Purva Ashadha,Venus,4,7th House,7,180,179.9952,0.0048,Weak
2026-01-10 00:30:00,Parashara_Drishti,Jupiter,Gemini,Song Tử,"25°58'15.85""",Punarvasu,Jupiter,2,Mars,Sagittarius,Nhân Mã,"25°10'48.81""",Purva Ashadha,Venus,4,7th House,7,180,179.2092,0.7908,Weak
2026-01-10 00:45:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"25°15'02.41""",Purva Ashadha,Venus,4,Jupiter,Gemini,Song Tử,"25°58'10.79""",Punarvasu,Jupiter,2,7th House,7,180,180.719,0.719,Standard
