date,time,datetime_local,datetime_utc,julian_day,timezone_offset,Sun_Longitude,Sun_Latitude,Sun_Distance,Sun_Sign,Sun_Sign_VI,Sun_Degree,Sun_Degree_Decimal,Sun_Motion,Sun_Retrograde,Sun_Speed,Sun_Symbol,Sun_Name_VI,Moon_Longitude,Moon_Latitude,Moon_Distance,Moon_Sign,Moon_Sign_VI,Moon_Degree,Moon_Degree_Decimal,Moon_Motion,Moon_Retrograde,Moon_Speed,Moon_Symbol,Moon_Name_VI,Mercury_Longitude,Mercury_Latitude,Mercury_Distance,Mercury_Sign,Mercury_Sign_VI,Mercury_Degree,Mercury_Degree_Decimal,Mercury_Motion,Mercury_Retrograde,Mercury_Speed,Mercury_Symbol,Mercury_Name_VI,Venus_Longitude,Venus_Latitude,Venus_Distance,Venus_Sign,Venus_Sign_VI,Venus_Degree,Venus_Degree_Decimal,Venus_Motion,Venus_Retrograde,Venus_Speed,Venus_Symbol,Venus_Name_VI,Mars_Longitude,Mars_Latitude,Mars_Distance,Mars_Sign,Mars_Sign_VI,Mars_Degree,Mars_Degree_Decimal,Mars_Motion,Mars_Retrograde,Mars_Speed,Mars_Symbol,Mars_Name_VI,Jupiter_Longitude,Jupiter_Latitude,Jupiter_Distance,Jupiter_Sign,Jupiter_Sign_VI,Jupiter_Degree,Jupiter_Degree_Decimal,Jupiter_Motion,Jupiter_Retrograde,Jupiter_Speed,Jupiter_Symbol,Jupiter_Name_VI,Saturn_Longitude,Saturn_Latitude,Saturn_Distance,Saturn_Sign,Saturn_Sign_VI,Saturn_Degree,Saturn_Degree_Decimal,Saturn_Motion,Saturn_Retrograde,Saturn_Speed,Saturn_Symbol,Saturn_Name_VI,Uranus_Longitude,Uranus_Latitude,Uranus_Distance,Uranus_Sign,Uranus_Sign_VI,Uranus_Degree,Uranus_Degree_Decimal,Uranus_Motion,Uranus_Retrograde,Uranus_Speed,Uranus_Symbol,Uranus_Name_VI,Neptune_Longitude,Neptune_Latitude,Neptune_Distance,Neptune_Sign,Neptune_Sign_VI,Neptune_Degree,Neptune_Degree_Decimal,Neptune_Motion,Neptune_Retrograde,Neptune_Speed,Neptune_Symbol,Neptune_Name_VI,Pluto_Longitude,Pluto_Latitude,Pluto_Distance,Pluto_Sign,Pluto_Sign_VI,Pluto_Degree,Pluto_Degree_Decimal,Pluto_Motion,Pluto_Retrograde,Pluto_Speed,Pluto_Symbol,Pluto_Name_VI,Rahu_Longitude,Rahu_Latitude,Rahu_Distance,Rahu_Sign,Rahu_Sign_VI,Rahu_Degree,Rahu_Degree_Decimal,Rahu_Motion,Rahu_Retrograde,Rahu_Speed,Rahu_Symbol,Rahu_Name_VI,Ketu_Longitude,Ketu_Latitude,Ketu_Distance,Ketu_Sign,Ketu_Sign_VI,Ketu_Degree,Ketu_Degree_Decimal,Ketu_Motion,Ketu_Retrograde,Ketu_Speed,Ketu_Symbol,Ketu_Name_VI
2025-12-01,00:00:00,2025-12-01 00:00:00,2025-11-30 17:00:00,2461010.2083333335,7.0,224.524163,0.000105,0.986186,Scorpio,Thần Nông,"14°31'26.99""",14.524163,D,False,1.01301,☉,Mặt Trời,345.075882,2.127409,0.002467,Pisces,Song Ngư,"15°04'33.18""",15.075882,D,False,14.201226,☽,Mặt Trăng,206.569613,2.59188,0.836045,Libra,Thiên Bình,"26°34'10.61""",26.569613,D,False,0.16822,☿,Sao Thủy,215.610878,0.715032,1.681577,Scorpio,Thần Nông,"5°36'39.16""",5.610878,D,False,1.257185,♀,Sao Kim,234.858297,-0.661048,2.42388,Scorpio,Thần Nông,"24°51'29.87""",24.858297,D,False,0.741298,♂,Sao Hỏa,90.332727,0.158623,4.464673,Cancer,Cự Giải,"0°19'57.82""",0.332727,R,True,-0.062275,♃,Sao Mộc,330.943316,-2.368956,9.202745,Pisces,Song Ngư,"0°56'35.94""",0.943316,D,False,0.004554,♄,Sao Thổ,34.843037,-0.205025,18.522873,Taurus,Kim Ngưu,"4°50'34.93""",4.843037,R,True,-0.041128,♅,Sao Thiên Vương,335.179572,-1.352627,29.523754,Pisces,Song Ngư,"5°10'46.46""",5.179572,R,True,-0.005597,♆,Sao Hải Vương,277.67596,-3.762566,35.981044,Capricorn,Ma Kết,"7°40'33.46""",7.67596,D,False,0.021358,♇,Sao Diêm Vương,319.607114,0.0,0.00257,Aquarius,Bảo Bình,"19°36'25.61""",19.607114,R,True,-0.052992,☊,Rahu (Bắc Giao Điểm),139.607114,-0.0,0.00257,Leo,Sư Tử,"19°36'25.61""",19.607114,R,True,0.052992,☋,Ketu (Nam Giao Điểm)
2025-12-01,00:15:00,2025-12-01 00:15:00,2025-11-30 17:15:00,2461010.21875,7.0,224.534715,0.000106,0.986184,Scorpio,Thần Nông,"14°32'04.98""",14.534715,D,False,1.013013,☉,Mặt Trời,345.223838,2.139181,0.002466,Pisces,Song Ngư,"15°13'25.82""",15.223838,D,False,14.206092,☽,Mặt Trăng,206.571375,2.592244,0.836294,Libra,Thiên Bình,"26°34'16.95""",26.571375,D,False,0.169955,☿,Sao Thủy,215.623974,0.714656,1.681593,Scorpio,Thần Nông,"5°37'26.31""",5.623974,D,False,1.257186,♀,Sao Kim,234.866019,-0.661135,2.42388,Scorpio,Thần Nông,"24°51'57.67""",24.866019,D,False,0.741307,♂,Sao Hỏa,90.332078,0.15865,4.464559,Cancer,Cự Giải,"0°19'55.48""",0.332078,R,True,-0.062307,♃,Sao Mộc,330.943364,-2.368919,9.20291,Pisces,Song Ngư,"0°56'36.11""",0.943364,D,False,0.004573,♄,Sao Thổ,34.842609,-0.205023,18.522903,Taurus,Kim Ngưu,"4°50'33.39""",4.842609,R,True,-0.041126,♅,Sao Thiên Vương,335.179514,-1.352621,29.523923,Pisces,Song Ngư,"5°10'46.25""",5.179514,R,True,-0.005592,♆,Sao Hải Vương,277.676182,-3.762565,35.981194,Capricorn,Ma Kết,"7°40'34.26""",7.676182,D,False,0.021362,♇,Sao Diêm Vương,319.606562,-0.0,0.00257,Aquarius,Bảo Bình,"19°36'23.62""",19.606562,R,True,-0.052992,☊,Rahu (Bắc Giao Điểm),139.606562,0.0,0.00257,Leo,Sư Tử,"19°36'23.62""",19.606562,R,True,0.052992,☋,Ketu (Nam Giao Điểm)
2025-12-01,00:30:00,2025-12-01 00:30:00,2025-11-30 17:30:00,2461010.2291666665,7.0,224.545268,0.000106,0.986182,Scorpio,Thần Nông,"14°32'42.96""",14.545268,D,False,1.013015,☉,Mặt Trời,345.371844,2.150942,0.002466,Pisces,Song Ngư,"15°22'18.64""",15.371844,D,False,14.210957,☽,Mặt Trăng,206.573154,2.592605,0.836543,Libra,Thiên Bình,"26°34'23.36""",26.573154,D,False,0.171689,☿,Sao Thủy,215.63707,0.71428,1.68161,Scorpio,Thần Nông,"5°38'13.45""",5.63707,D,False,1.257187,♀,Sao Kim,234.873741,-0.661221,2.42388,Scorpio,Thần Nông,"24°52'25.47""",24.873741,D,False,0.741316,♂,Sao Hỏa,90.331429,0.158677,4.464444,Cancer,Cự Giải,"0°19'53.14""",0.331429,R,True,-0.062339,♃,Sao Mộc,330.943411,-2.368881,9.203076,Pisces,Song Ngư,"0°56'36.28""",0.943411,D,False,0.004591,♄,Sao Thổ,34.842181,-0.205021,18.522933,Taurus,Kim Ngưu,"4°50'31.85""",4.842181,R,True,-0.041124,♅,Sao Thiên Vương,335.179456,-1.352614,29.524092,Pisces,Song Ngư,"5°10'46.04""",5.179456,R,True,-0.005586,♆,Sao Hải Vương,277.676405,-3.762564,35.981345,Capricorn,Ma Kết,"7°40'35.06""",7.676405,D,False,0.021366,♇,Sao Diêm Vương,319.60601,0.0,0.00257,Aquarius,Bảo Bình,"19°36'21.64""",19.60601,R,True,-0.052992,☊,Rahu (Bắc Giao Điểm),139.60601,-0.0,0.00257,Leo,Sư Tử,"19°36'21.64""",19.60601,R,True,0.052992,☋,Ketu (Nam Giao Điểm)
2025-12-01,00:45:00,2025-12-01 00:45:00,2025-11-30 17:45:00,2461010.2395833335,7.0,224.55582,0.000106,0.98618,Scorpio,Thần Nông,"14°33'20.95""",14.55582,D,False,1.013018,☉,Mặt Trời,345.519901,2.162693,0.002466,Pisces,Song Ngư,"15°31'11.64""",15.519901,D,False,14.215821,☽,Mặt Trăng,206.574952,2.592963,0.836793,Libra,Thiên Bình,"26°34'29.83""",26.574952,D,False,0.173421,☿,Sao Thủy,215.650166,0.713905,1.681626,Scorpio,Thần Nông,"5°39'00.60""",5.650166,D,False,1.257187,♀,Sao Kim,234.881463,-0.661308,2.42388,Scorpio,Thần Nông,"24°52'53.27""",24.881463,D,False,0.741325,♂,Sao Hỏa,90.33078,0.158705,4.46433,Cancer,Cự Giải,"0°19'50.81""",0.33078,R,True,-0.062371,♃,Sao Mộc,330.943459,-2.368844,9.203242,Pisces,Song Ngư,"0°56'36.45""",0.943459,D,False,0.00461,♄,Sao Thổ,34.841752,-0.205019,18.522963,Taurus,Kim Ngưu,"4°50'30.31""",4.841752,R,True,-0.041123,♅,Sao Thiên Vương,335.179398,-1.352608,29.524262,Pisces,Song Ngư,"5°10'45.83""",5.179398,R,True,-0.00558,♆,Sao Hải Vương,277.676627,-3.762563,35.981495,Capricorn,Ma Kết,"7°40'35.86""",7.676627,D,False,0.02137,♇,Sao Diêm Vương,319.605458,0.0,0.00257,Aquarius,Bảo Bình,"19°36'19.65""",19.605458,R,True,-0.052992,☊,Rahu (Bắc Giao Điểm),139.605458,-0.0,0.00257,Leo,Sư Tử,"19°36'19.65""",19.605458,R,True,0.052992,☋,Ketu (Nam Giao Điểm)
2025-12-01,01:00:00,2025-12-01 01:00:00,2025-11-30 18:00:00,2461010.25,7.0,224.566372,0.000107,0.986179,Scorpio,Thần Nông,"14°33'58.94""",14.566372,D,False,1.013021,☉,Mặt Trời,345.668008,2.174432,0.002465,Pisces,Song Ngư,"15°40'04.83""",15.668008,D,False,14.220683,☽,Mặt Trăng,206.576767,2.593319,0.837042,Libra,Thiên Bình,"26°34'36.36""",26.576767,D,False,0.175151,☿,Sao Thủy,215.663261,0.713529,1.681642,Scorpio,Thần Nông,"5°39'47.74""",5.663261,D,False,1.257188,♀,Sao Kim,234.889185,-0.661395,2.42388,Scorpio,Thần Nông,"24°53'21.07""",24.889185,D,False,0.741334,♂,Sao Hỏa,90.33013,0.158732,4.464215,Cancer,Cự Giải,"0°19'48.47""",0.33013,R,True,-0.062403,♃,Sao Mộc,330.943507,-2.368807,9.203407,Pisces,Song Ngư,"0°56'36.63""",0.943507,D,False,0.004629,♄,Sao Thổ,34.841324,-0.205017,18.522994,Taurus,Kim Ngưu,"4°50'28.77""",4.841324,R,True,-0.041121,♅,Sao Thiên Vương,335.17934,-1.352601,29.524431,Pisces,Song Ngư,"5°10'45.62""",5.17934,R,True,-0.005574,♆,Sao Hải Vương,277.67685,-3.762562,35.981645,Capricorn,Ma Kết,"7°40'36.66""",7.67685,D,False,0.021374,♇,Sao Diêm Vương,319.604906,0.0,0.00257,Aquarius,Bảo Bình,"19°36'17.66""",19.604906,R,True,-0.052992,☊,Rahu (Bắc Giao Điểm),139.604906,-0.0,0.00257,Leo,Sư Tử,"19°36'17.66""",19.604906,R,True,0.052992,☋,Ketu (Nam Giao Điểm)
2025-12-01,01:15:00,2025-12-01 01:15:00,2025-11-30 18:15:00,2461010.2604166665,7.0,224.576925,0.000107,0.986177,Scorpio,Thần Nông,"14°34'36.93""",14.576925,D,False,1.013023,☉,Mặt Trời,345.816167,2.186161,0.002465,Pisces,Song Ngư,"15°48'58.20""",15.816167,D,False,14.225543,☽,Mặt Trăng,206.578601,2.593672,0.837292,Libra,Thiên Bình,"26°34'42.96""",26.578601,D,False,0.17688,☿,Sao Thủy,215.676357,0.713153,1.681658,Scorpio,Thần Nông,"5°40'34.89""",5.676357,D,False,1.257189,♀,Sao Kim,234.896908,-0.661481,2.42388,Scorpio,Thần Nông,"24°53'48.87""",24.896908,D,False,0.741343,♂,Sao Hỏa,90.329479,0.158759,4.464101,Cancer,Cự Giải,"0°19'46.13""",0.329479,R,True,-0.062435,♃,Sao Mộc,330.943556,-2.368769,9.203573,Pisces,Song Ngư,"0°56'36.80""",0.943556,D,False,0.004647,♄,Sao Thổ,34.840896,-0.205015,18.523024,Taurus,Kim Ngưu,"4°50'27.22""",4.840896,R,True,-0.041119,♅,Sao Thiên Vương,335.179282,-1.352595,29.5246,Pisces,Song Ngư,"5°10'45.41""",5.179282,R,True,-0.005568,♆,Sao Hải Vương,277.677073,-3.762561,35.981796,Capricorn,Ma Kết,"7°40'37.46""",7.677073,D,False,0.021378,♇,Sao Diêm Vương,319.604354,0.0,0.00257,Aquarius,Bảo Bình,"19°36'15.68""",19.604354,R,True,-0.052992,☊,Rahu (Bắc Giao Điểm),139.604354,-0.0,0.00257,Leo,Sư Tử,"19°36'15.68""",19.604354,R,True,0.052992,☋,Ketu (Nam Giao Điểm)
2025-12-01,01:30:00,2025-12-01 01:30:00,2025-11-30 18:30:00,2461010.2708333335,7.0,224.587477,0.000107,0.986175,Scorpio,Thần Nông,"14°35'14.92""",14.587477,D,False,1.013026,☉,Mặt Trời,345.964375,2.197879,0.002464,Pisces,Song Ngư,"15°57'51.75""",15.964375,D,False,14.230402,☽,Mặt Trăng,206.580453,2.594021,0.837542,Libra,Thiên Bình,"26°34'49.63""",26.580453,D,False,0.178608,☿,Sao Thủy,215.689453,0.712777,1.681674,Scorpio,Thần Nông,"5°41'22.03""",5.689453,D,False,1.25719,♀,Sao Kim,234.90463,-0.661568,2.42388,Scorpio,Thần Nông,"24°54'16.67""",24.90463,D,False,0.741352,♂,Sao Hỏa,90.328829,0.158786,4.463987,Cancer,Cự Giải,"0°19'43.78""",0.328829,R,True,-0.062467,♃,Sao Mộc,330.943604,-2.368732,9.203739,Pisces,Song Ngư,"0°56'36.98""",0.943604,D,False,0.004666,♄,Sao Thổ,34.840467,-0.205013,18.523054,Taurus,Kim Ngưu,"4°50'25.68""",4.840467,R,True,-0.041117,♅,Sao Thiên Vương,335.179224,-1.352588,29.52477,Pisces,Song Ngư,"5°10'45.20""",5.179224,R,True,-0.005562,♆,Sao Hải Vương,277.677295,-3.76256,35.981946,Capricorn,Ma Kết,"7°40'38.26""",7.677295,D,False,0.021382,♇,Sao Diêm Vương,319.603802,0.0,0.00257,Aquarius,Bảo Bình,"19°36'13.69""",19.603802,R,True,-0.052992,☊,Rahu (Bắc Giao Điểm),139.603802,-0.0,0.00257,Leo,Sư Tử,"19°36'13.69""",19.603802,R,True,0.052992,☋,Ketu (Nam Giao Điểm)
2025-12-01,01:45:00,2025-12-01 01:45:00,2025-11-30 18:45:00,2461010.28125,7.0,224.598029,0.000108,0.986173,Scorpio,Thần Nông,"14°35'52.91""",14.598029,D,False,1.013029,☉,Mặt Trời,346.112635,2.209586,0.002464,Pisces,Song Ngư,"16°06'45.49""",16.112635,D,False,14.23526,☽,Mặt Trăng,206.582322,2.594368,0.837791,Libra,Thiên Bình,"26°34'56.36""",26.582322,D,False,0.180334,☿,Sao Thủy,215.702548,0.712401,1.68169,Scorpio,Thần Nông,"5°42'09.17""",5.702548,D,False,1.257191,♀,Sao Kim,234.912352,-0.661654,2.42388,Scorpio,Thần Nông,"24°54'44.47""",24.912352,D,False,0.741361,♂,Sao Hỏa,90.328178,0.158813,4.463872,Cancer,Cự Giải,"0°19'41.44""",0.328178,R,True,-0.062499,♃,Sao Mộc,330.943653,-2.368695,9.203904,Pisces,Song Ngư,"0°56'37.15""",0.943653,D,False,0.004685,♄,Sao Thổ,34.840039,-0.205011,18.523085,Taurus,Kim Ngưu,"4°50'24.14""",4.840039,R,True,-0.041115,♅,Sao Thiên Vương,335.179166,-1.352582,29.524939,Pisces,Song Ngư,"5°10'45.00""",5.179166,R,True,-0.005557,♆,Sao Hải Vương,277.677518,-3.762559,35.982096,Capricorn,Ma Kết,"7°40'39.07""",7.677518,D,False,0.021385,♇,Sao Diêm Vương,319.60325,-0.0,0.00257,Aquarius,Bảo Bình,"19°36'11.70""",19.60325,R,True,-0.052992,☊,Rahu (Bắc Giao Điểm),139.60325,0.0,0.00257,Leo,Sư Tử,"19°36'11.70""",19.60325,R,True,0.052992,☋,Ketu (Nam Giao Điểm)
2025-12-01,02:00:00,2025-12-01 02:00:00,2025-11-30 19:00:00,2461010.2916666665,7.0,224.608582,0.000108,0.986171,Scorpio,Thần Nông,"14°36'30.89""",14.608582,D,False,1.013032,☉,Mặt Trời,346.260945,2.221281,0.002464,Pisces,Song Ngư,"16°15'39.40""",16.260945,D,False,14.240113,☽,Mặt Trăng,206.58421,2.594712,0.838041,Libra,Thiên Bình,"26°35'03.16""",26.58421,D,False,0.182059,☿,Sao Thủy,215.715644,0.712025,1.681706,Scorpio,Thần Nông,"5°42'56.32""",5.715644,D,False,1.257192,♀,Sao Kim,234.920075,-0.661741,2.42388,Scorpio,Thần Nông,"24°55'12.27""",24.920075,D,False,0.74137,♂,Sao Hỏa,90.327527,0.15884,4.463758,Cancer,Cự Giải,"0°19'39.10""",0.327527,R,True,-0.062531,♃,Sao Mộc,330.943702,-2.368657,9.20407,Pisces,Song Ngư,"0°56'37.33""",0.943702,D,False,0.004704,♄,Sao Thổ,34.839611,-0.205009,18.523115,Taurus,Kim Ngưu,"4°50'22.60""",4.839611,R,True,-0.041113,♅,Sao Thiên Vương,335.179108,-1.352575,29.525108,Pisces,Song Ngư,"5°10'44.79""",5.179108,R,True,-0.005551,♆,Sao Hải Vương,277.677741,-3.762559,35.982247,Capricorn,Ma Kết,"7°40'39.87""",7.677741,D,False,0.021389,♇,Sao Diêm Vương,319.602698,0.0,0.00257,Aquarius,Bảo Bình,"19°36'09.71""",19.602698,R,True,-0.052992,☊,Rahu (Bắc Giao Điểm),139.602698,-0.0,0.00257,Leo,Sư Tử,"19°36'09.71""",19.602698,R,True,0.052992,☋,Ketu (Nam Giao Điểm)
2025-12-01,02:15:00,2025-12-01 02:15:00,2025-11-30 19:15:00,2461010.3020833335,7.0,224.619134,0.000108,0.98617,Scorpio,Thần Nông,"14°37'08.88""",14.619134,D,False,1.013034,☉,Mặt Trời,346.409305,2.232965,0.002463,Pisces,Song Ngư,"16°24'33.50""",16.409305,D,False,14.244968,☽,Mặt Trăng,206.586115,2.595053,0.838291,Libra,Thiên Bình,"26°35'10.02""",26.586115,D,False,0.183782,☿,Sao Thủy,215.72874,0.711649,1.681722,Scorpio,Thần Nông,"5°43'43.46""",5.72874,D,False,1.257193,♀,Sao Kim,234.927798,-0.661827,2.423879,Scorpio,Thần Nông,"24°55'40.07""",24.927798,D,False,0.741379,♂,Sao Hỏa,90.326875,0.158867,4.463643,Cancer,Cự Giải,"0°19'36.75""",0.326875,R,True,-0.062563,♃,Sao Mộc,330.943751,-2.36862,9.204236,Pisces,Song Ngư,"0°56'37.50""",0.943751,D,False,0.004722,♄,Sao Thổ,34.839182,-0.205007,18.523145,Taurus,Kim Ngưu,"4°50'21.06""",4.839182,R,True,-0.041112,♅,Sao Thiên Vương,335.17905,-1.352569,29.525278,Pisces,Song Ngư,"5°10'44.58""",5.17905,R,True,-0.005545,♆,Sao Hải Vương,277.677964,-3.762558,35.982397,Capricorn,Ma Kết,"7°40'40.67""",7.677964,D,False,0.021393,♇,Sao Diêm Vương,319.602146,-0.0,0.00257,Aquarius,Bảo Bình,"19°36'07.73""",19.602146,R,True,-0.052992,☊,Rahu (Bắc Giao Điểm),139.602146,0.0,0.00257,Leo,Sư Tử,"19°36'07.73""",19.602146,R,True,0.052992,☋,Ketu (Nam Giao Điểm)
